,incode1,count,count_perc,ALC_perc,,
142,1ZZ35HAB3,228,0.02,12.72,,
143,3AN40WA,228,0.02,18.42,,
144,3JE30DC,227,0.02,13.66,,
145,1PM35CAZ9,223,0.02,2.69,,
146,3AN40VA,215,0.01,13.95,,
147,1OT52HATS,214,0.01,10.28,,
148,3JU30DC,211,0.01,13.27,,
149,1PM52BATS,210,0.01,10.48,,
150,2PM58VE,207,0.01,10.63,,
151,2ZZ13RK,205,0.01,9.27,,
152,1HZ53GRNN,204,0.01,6.86,,
153,2GE70BA,203,0.01,2.46,,
154,2ZZ02ZZ,198,0.01,20.2,,
155,3VZ20WC,196,0.01,19.9,,
156,3WZ20VA,195,0.01,40.51,,
157,3OT30DC,194,0.01,8.76,,
158,3KT20WC,193,0.01,15.54,,
159,3SM10VA,193,0.01,25.91,,
160,6AA02CP,193,0.01,26.94,,
161,3GT20VA,192,0.01,5.73,,
162,3ZZ20WE,183,0.01,6.56,,
163,3GY20WE,182,0.01,5.49,,
164,3TZ20WA,182,0.01,19.23,,
165,1NQ35CAA6,181,0.01,15.47,,
166,1YU80LA,179,0.01,18.99,,
167,3AN40WC,178,0.01,14.61,,
168,3ID20VA,177,0.01,10.17,,
169,3OT30DD,175,0.01,4,,
170,1ZZ35HAK7,173,0.01,6.36,,
171,3FY20WA,168,0.01,10.71,,
172,3FY20VA,165,0.01,6.06,,
173,3EA20WA,164,0.01,20.73,,
174,3EI10VA,162,0.01,14.81,,
175,3TZ20VA,160,0.01,18.75,,
176,2HZ23JAXJ,157,0.01,2.55,,
177,3ID20WA,154,0.01,3.9,,
178,1GJ52CATJ,153,0.01,9.15,,
179,3ID30DA,153,0.01,8.5,,
180,1ET13CABC,144,0.01,2.78,,
181,1GZ32CAMU,144,0.01,4.17,,
182,1LZ35HAC7,144,0.01,12.5,,
183,1PZ21HPD4,140,0.01,9.29,,
184,1GZ31CRND,138,0.01,7.97,,
185,6AA10ZZ,136,0.01,24.26,,
186,1TM73JA,134,0.01,20.15,,
187,3IP30DC,127,0.01,8.66,,
188,1NQ57CJ,125,0.01,17.6,,
189,8MK70HABK,120,0.01,19.17,,
190,1ZZ35HAB1,119,0.01,9.24,,
191,1YE80LA,118,0.01,12.71,,
192,1ZZ35HAN1,116,0.01,8.62,,
193,1YD80LA,115,0.01,22.61,,
194,3WZ20WA,113,0.01,36.28,,
195,3KG30DA,111,0.01,9.01,,
196,3VA10KM,111,0.01,25.23,,
197,1GZ32CAMX,109,0.01,9.17,,
198,1PM35CAD3,109,0.01,1.83,,
199,3VZ10VA,109,0.01,30.28,,
200,3IP30DD,107,0.01,3.74,,
201,1WA03JAFQ,106,0.01,34.91,,
202,3KG30DD,106,0.01,8.49,,
203,3VA30DA,106,0.01,9.43,,
204,1ZZ35HAA2,103,0.01,2.91,,
205,1YS52LA,98,0.01,2.04,,
206,6AA10MA,97,0.01,30.93,,
207,3KE20WE,96,0.01,5.21,,
208,1PZ37JAGJ,95,0.01,14.74,,
209,1ZZ35HAK0,93,0.01,5.38,,
210,7SC70SB,93,0.01,29.03,,
211,1VG03JASR,92,0.01,23.91,,
212,3ER40VA,92,0.01,21.74,,
213,1NQ35CAT9,90,0.01,15.56,,
214,1PM55CATS,90,0.01,6.67,,
215,3TZ30DA,90,0.01,4.44,,
216,1YT80JAFF,89,0.01,28.09,,
217,3EQ30VA,87,0.01,5.75,,
218,3ER40WA,87,0.01,27.59,,
219,3GT70CC,87,0.01,6.9,,
220,2HZ24HAXJ,86,0.01,10.47,,
221,6VA02ZZ,85,0.01,17.65,,
222,1PE52HH,84,0.01,4.76,,
223,1ZZ35HAF1,84,0.01,8.33,,
224,3QG30DC,83,0.01,6.02,,
225,1IS54HALF,82,0.01,9.76,,
226,1ET13CAGX,81,0.01,3.7,,
227,1HZ09GRJF,81,0.01,0,,
228,3ID20WE,81,0.01,1.23,,
229,3JM20WC,81,0.01,7.41,,
230,1GZ35CAT9,80,0.01,2.5,,
231,1NQ35CAD2,77,0.01,12.99,,
232,1YB80LAW4,76,0.01,23.68,,
233,2GZ58TA,76,0.01,6.58,,
234,3PZ70CA,76,0.01,14.47,,
235,1KV53HAFT,75,0.01,10.67,,
236,1JQ53GRLG,71,0,12.68,,
237,1VC03JASR,71,0,35.21,,
238,1WA03JASR,71,0,23.94,,
239,1YC80LA,71,0,23.94,,
240,2ZZ13RM,71,0,4.23,,
241,3KQ30DC,71,0,5.63,,
242,1ZX06JAKL,70,0,4.29,,
243,2PM70BA,70,0,5.71,,
244,1FA53CANB,69,0,5.8,,
245,3ZZ10VA,69,0,17.39,,
246,1NQ73CJ,68,0,8.82,,
247,1PM52HHTS,68,0,7.35,,
248,1YA80LAW4,68,0,26.47,,
249,3AN40WE,68,0,13.24,,
250,3KT20WE,68,0,30.88,,
251,1IS53HNLF,67,0,13.43,,
252,1LZ35HAZ9,67,0,2.99,,
253,1YV52LA,67,0,7.46,,
254,3YM30DA,67,0,4.48,,
255,2FA70BA,66,0,1.52,,
256,1GZ31CAPK,65,0,6.15,,
257,1YA80JAFF,65,0,30.77,,
258,3SC40WE,65,0,15.38,,
259,3OT40VA,63,0,3.17,,
260,1NA56BA,62,0,6.45,,
261,3OT40WA,62,0,11.29,,
262,3SK10VA,62,0,19.35,,
263,1VA52HA,60,0,11.67,,
264,3VZ40WA,60,0,30,,
265,1GV52LATS,59,0,3.39,,
266,3GY10VV,59,0,8.47,,
267,1BS35HAP1,58,0,27.59,,
268,1TA03JASQ,58,0,37.93,,
269,1ZZ35HAE2,58,0,1.72,,
270,3FY30VA,58,0,1.72,,
271,1GV52DATS,57,0,5.26,,
272,3OA30DA,57,0,5.26,,
273,6AA10CT,57,0,24.56,,
274,1ZZ35HAA3,56,0,0,,
275,1ZZ35HAJ2,56,0,7.14,,
276,3PC30DC,56,0,7.14,,
277,1ET13CAC2,55,0,3.64,,
278,1YB80JAFF,55,0,30.91,,
279,1GZ32CAMW,54,0,3.7,,
280,1UB52HA,54,0,11.11,,
281,1ZZ35HAF2,54,0,5.56,,
282,2NF70BA,54,0,7.41,,
283,3JM30DC,54,0,1.85,,
284,1GM52CATJ,53,0,5.66,,
285,1UB03JAFQ,53,0,35.85,,
286,3VG30DA,53,0,16.98,,
287,1GZ12ZZ,52,0,5.77,,
288,1ZZ35HAK5,52,0,15.38,,
289,3CA20WC,52,0,3.85,,
290,2NM70BABG,51,0,3.92,,
291,3EA10VA,51,0,19.61,,
292,3EA20VA,51,0,11.76,,
293,3TZ20WC,51,0,13.73,,
294,7SJ30LA,51,0,19.61,,
295,1NF54HATS,50,0,8,,
296,1ET13CAZ9,49,0,8.16,,
297,1VG73JA,49,0,12.24,,
298,3IP20WC,49,0,8.16,,
299,3RZ30DA,49,0,10.2,,
300,3RZ30LA,49,0,2.04,,
301,3TZ10VA,49,0,14.29,,
302,1PE54JATS,48,0,6.25,,
303,1UB03JASR,48,0,35.42,,
304,3KX30DC,48,0,12.5,,
305,1VQ03JAFQ,47,0,36.17,,
306,1ZZ35CAC1,47,0,8.51,,
307,3ET10VA,47,0,12.77,,
308,3SN10VA,46,0,21.74,,
309,1TM52HA,45,0,6.67,,
310,1YF80LAW4,45,0,15.56,,
311,1ZZ35CAP2,45,0,6.67,,
312,2CZ70JAJB,45,0,8.89,,
313,3ER40WC,45,0,20,,
314,3OT30LA,45,0,4.44,,
315,1SC03JASR,44,0,29.55,,
316,3KY30DC,44,0,13.64,,
317,7SP10ZZ,44,0,36.36,,
318,1TA52HA,43,0,13.95,,
319,2LZ28JAPL,43,0,9.3,,
320,3QG30DD,43,0,4.65,,
321,1VQ03JASR,42,0,35.71,,
322,2NF71BA,42,0,2.38,,
323,3IM10VX,42,0,2.38,,
324,3JU30DA,42,0,11.9,,
325,3PZ20WC,42,0,4.76,,
326,1ZZ35HAD5,41,0,2.44,,
327,6AA10BE,41,0,39.02,,
328,1FA52CATJ,40,0,10,,
329,1SZ52LA,40,0,5,,
330,1YF80JAFF,40,0,25,,
331,2GZ29ZZ,40,0,0,,
332,2NM70BABH,40,0,10,,
333,1WA52HA,39,0,5.13,,
334,2WZ08ZZ,39,0,30.77,,
335,3EY10VA,39,0,2.56,,
336,3JE30DA,39,0,20.51,,
337,2NT70BA,38,0,0,,
338,3HZ30GP,38,0,2.63,,
339,1LZ19HHU1J,37,0,10.81,,
340,1TK03JASQ,37,0,37.84,,
341,2HZ21ZZ,37,0,10.81,,
342,2VA71HA,37,0,5.41,,
343,3AN70CA,37,0,21.62,,
344,1JW35HH1C,36,0,13.89,,
345,1OZ35CAA2,36,0,0,,
346,1YS80LA,36,0,5.56,,
347,1ZZ35HAE5,36,0,5.56,,
348,2NQ70BA,36,0,13.89,,
349,8TA70HABK,36,0,0,,
350,1YW80LA,35,0,22.86,,
351,2RZ02CA,35,0,2.86,,
352,1OE52GPTS,34,0,2.94,,
353,1YV14JAT6,34,0,11.76,,
354,2GM70BA,34,0,2.94,,
355,3JU30DD,34,0,8.82,,
356,3KG20WE,34,0,26.47,,
357,6AA30CTAA,34,0,29.41,,
358,1NF53HATS,33,0,3.03,,
359,1ZZ35CAE4,33,0,3.03,,
360,3TA30VA,33,0,21.21,,
361,3WZ70CA,33,0,15.15,,
362,1NF13BAGX,32,0,3.12,,
363,1NK52CATS,32,0,12.5,,
364,1YS14JAT6,32,0,15.62,,
365,2HZ08EJ,32,0,0,,
366,2NA70BA,32,0,0,,
367,3EE10VA,32,0,6.25,,
368,3IM10VC,32,0,6.25,,
369,3JE20WE,32,0,31.25,,
370,3KX30DA,32,0,6.25,,
371,3SC10KM,32,0,18.75,,
372,3SC20WE,32,0,34.38,,
373,7SF12ZZ,32,0,31.25,,
374,1NA13BAFA,31,0,9.68,,
375,1OD52HATS,31,0,6.45,,
376,1ZZ35HAK8,31,0,9.68,,
377,3GY10VZ,31,0,6.45,,
378,6AA02SK,31,0,35.48,,
379,1ET55CANP,30,0,0,,
380,1NF35CAW7,30,0,10,,
381,1TV03JAFQ,30,0,36.67,,
382,1VC03JZTA,30,0,46.67,,
383,1YT80LAW4,30,0,6.67,,
384,1YU80JAFF,30,0,36.67,,
385,1YW59JAGX,30,0,13.33,,
386,3JE30DD,30,0,10,,
387,3NL10VN,30,0,6.67,,
388,3WZ20WC,30,0,30,,
389,1CX80LA,29,0,13.79,,
390,1IS53LALF,29,0,10.34,,
391,1NT52LA,29,0,6.9,,
392,8MM70HABM,29,0,13.79,,
393,1YU52LA,28,0,7.14,,
394,1ZZ35HAP6,28,0,3.57,,
395,2HZ24JAKH,28,0,7.14,,
396,2ZZ13RC,28,0,21.43,,
397,7SC70SA,28,0,7.14,,
398,7SJ30LC,28,0,17.86,,
399,1GJ50CATS,27,0,7.41,,
400,1GZ31GPND,27,0,18.52,,
401,1IL35HHC1,27,0,3.7,,
402,1KR53GRLG,27,0,18.52,,
403,1TM03JAFQ,27,0,22.22,,
404,1ZZ35HAE3,27,0,0,,
405,2CZ02ZZ,27,0,14.81,,
406,2GZ21EA,27,0,7.41,,
407,1NP13BAKK,26,0,0,,
408,1TK03JASR,26,0,30.77,,
409,1ZZ35HAB2,26,0,7.69,,
410,3CA20WA,26,0,0,,
411,3PC20WC,26,0,3.85,,
412,7SF15TZ,26,0,61.54,,
413,8TA70HABW,26,0,3.85,,
414,1PQ50CABJ,25,0,4,,
