,Model,AUC,PRAUC,Recall,Precision,F1,Spec,Accuracy,Threshold
1,bag_bigED,0.691,0.2275,0.5169,0.2183,0.3069,0.748,0.7203,0.562
2,bag_bigED,0.691,0.2275,0.6309,0.1956,0.2986,0.6469,0.645,0.5
