"","Model","AUC","PRAUC","Recall","Precision","F1","Spec","Accuracy","Threshold"
"",cart_EDCIHI_upsample,0.7196,0.2478,0.4929,0.2739,0.3521,0.8221,0.7827,0.589
"",cart_EDCIHI_upsample,0.7196,0.2478,0.7155,0.2256,0.3431,0.6657,0.6717,0.5
"result",Fold1,0.7208,0.6964,0.7172,0.6824,0.6994,0.6663,0.6917,0.5
"result",Fold2,0.714,0.6842,0.7101,0.682,0.6958,0.6689,0.6895,0.5
"result",Fold3,0.7223,0.6983,0.7185,0.6839,0.7008,0.6679,0.6932,0.5
"result",Fold4,0.7133,0.6853,0.7032,0.6832,0.6931,0.6739,0.6886,0.5
"result",Fold5,0.7205,0.6969,0.7163,0.6822,0.6989,0.6663,0.6913,0.5
