"","Model","AUC","PRAUC","Recall","Precision","F1","Spec","Accuracy","Threshold"
"",cart_ED_upsample,0.6591,0.2085,0.6104,0.1853,0.2843,0.6347,0.6318,0.549
"result",Fold1,0.6576,0.6457,0.6675,0.6162,0.6409,0.5843,0.6259,0.5
"result",Fold2,0.6604,0.6486,0.6692,0.6181,0.6426,0.5865,0.6279,0.5
"result",Fold3,0.6578,0.6462,0.6675,0.617,0.6412,0.5856,0.6265,0.5
"result",Fold4,0.6576,0.6461,0.6108,0.6255,0.6181,0.6343,0.6226,0.5
"result",Fold5,0.6558,0.6452,0.61,0.6238,0.6168,0.6321,0.6211,0.5
