"","Model","AUC","PRAUC","Recall","Precision","F1","Spec","Accuracy","Threshold"
"result",Fold1,0.7656,0.7259,0.7168,0.7021,0.7094,0.6959,0.7064,0.5
"result",Fold2,0.7623,0.7194,0.7106,0.7017,0.7061,0.6979,0.7042,0.5
"result",Fold3,0.7645,0.7222,0.7199,0.7027,0.7112,0.6954,0.7076,0.5
"result",Fold4,0.7665,0.7246,0.7203,0.7028,0.7114,0.6954,0.7078,0.5
"result",Fold5,0.7653,0.7232,0.7167,0.7046,0.7106,0.6996,0.7081,0.5
