"","OR","CI_lower","CI_upper","pv"
"(Intercept)",0.13024105459363,0.129594528564438,0.130890806036048,0
"F03Y",7.37105264911786,6.99746642860583,7.76458418349176,0
"(Intercept)",0.131632195966887,0.130982315580659,0.132285300792341,0
"Z74Y",5.88606604686893,5.31820140272836,6.51456590010471,0
"(Intercept)",0.130505239193111,0.129857773402958,0.131155933222425,0
"Z73Y",5.18924409494774,4.93440431692209,5.457245200723,0
"(Intercept)",0.129439293521001,0.128793883593301,0.130087937716999,0
"S32Y",4.58310426565032,4.41547186237372,4.75710079568486,0
"(Intercept)",0.130079230978326,0.129432473583688,0.130729220136337,0
"R64Y",4.52934861432674,4.34005459651356,4.72689880136153,0
"(Intercept)",0.131775735656804,0.131125467083373,0.132429228998292,0
"M96Y",4.29685434379009,3.83491189149388,4.81444105474757,0
"(Intercept)",0.129964009225221,0.129317397950748,0.130613853677494,0
"R29Y",4.32211838387223,4.1490103844215,4.50244891995153,0
"(Intercept)",0.131799717174074,0.131149392739404,0.132453266342473,0
"G20Y",4.16327106378137,3.69986227701128,4.68472193092566,0
"(Intercept)",0.130859080227596,0.130210504931531,0.131510886061127,0
"S42Y",3.81736952805295,3.62437025448566,4.02064609587609,0
"(Intercept)",0.131810660055865,0.131160287608852,0.132464257444876,0
"S79Y",3.75778528897493,3.34407768972705,4.22267410874326,0
"(Intercept)",0.121794410649103,0.121162071903456,0.122430049538789,0
"S72Y",3.62188633060718,3.5579685098721,3.68695241552622,0
"(Intercept)",0.131860739252709,0.131210236749524,0.132514466759653,0
"S70Y",3.24621857041004,2.86444512270149,3.67887481011909,0
"(Intercept)",0.131821560520617,0.131171120202517,0.132475226187459,0
"Z04Y",3.21899044877922,2.87491580881969,3.60424450606293,0
"(Intercept)",0.130552733847712,0.129904290750917,0.131204413777158,0
"S82Y",3.10521497749024,2.97455023556978,3.24161950305159,0
"(Intercept)",0.131823186277593,0.131172708257824,0.132476889980965,0
