"","OR","CI_lower","CI_upper","pv"
"R26Y",2.93797555252187,2.63312957665287,3.27811453858966,0
"(Intercept)",0.131824316411229,0.131173812403933,0.13247804633272,0
"M62Y",2.78066668979551,2.49747380343928,3.09597130872419,0
"(Intercept)",0.130206834144653,0.129558314500964,0.130858600031009,0
"F05Y",2.63746573455726,2.54336159565284,2.73505171771618,0
"(Intercept)",0.131925583269626,0.131274917446917,0.132579474125885,0
"S39Y",2.56014289264038,2.22112709869912,2.95090345553652,0
"(Intercept)",0.131923115485085,0.1312724461225,0.132577009977024,0
"M48Y",2.50772631044737,2.18175290692117,2.88240305680831,0
"(Intercept)",0.13193108841265,0.131280388381629,0.132585013681923,0
"S00Y",2.34480380435164,2.03905341794125,2.69640061046225,0
"(Intercept)",0.13181505106275,0.131164452968806,0.132468876234383,0
"S12Y",2.32689873608271,2.11161659095151,2.5641291848079,0
"(Intercept)",0.129170423205162,0.128522165651803,0.129821950528006,0
"R53Y",2.33537629155951,2.27172086474356,2.40081539410165,0
"(Intercept)",0.131510624019221,0.130860123365673,0.132164358286566,0
"S22Y",2.12664809400267,2.00170434987152,2.25939066177054,0
"(Intercept)",0.130247950577236,0.12959806304131,0.13090109706472,0
"R41Y",2.10722600605041,2.03883266498052,2.17791362520553,0
"(Intercept)",0.131688172565618,0.131037513125339,0.132342062818946,0
"M79Y",2.04699641690395,1.90367672129409,2.20110604071955,0
"(Intercept)",0.131187378521693,0.130536919402945,0.131841078846584,0
"M54Y",2.04973622121467,1.95595843431111,2.14801015341573,0
"(Intercept)",0.130164160462923,0.129514094488393,0.13081748929292,0
"I63Y",2.0533829139624,1.98910248783363,2.11974064541284,0
"(Intercept)",0.131732033167089,0.131081305558552,0.132385991186086,0
"S52Y",1.97887414533496,1.83404854389321,2.13513589709171,0
"(Intercept)",0.131774348643855,0.131123599353508,0.132428327517901,0
"S09Y",1.96209500986784,1.80876876019685,2.12841846479553,0
"(Intercept)",0.131850354998128,0.131199577984986,0.132504359999709,0
"S01Y",1.93712982738456,1.76081561637115,2.13109875517596,0
"(Intercept)",0.131692810999959,0.131042017391505,0.13234683664291,0
"M25Y",1.90171885499948,1.77344559142721,2.03927011967143,0
"(Intercept)",0.13164791826009,0.130997031279346,0.132302039313069,0
"I61Y",1.82936658959155,1.71587162904605,1.9503685837934,0
"(Intercept)",0.13047415045035,0.129822735723111,0.131128833797253,0
"I64Y",1.79228533404805,1.73604490731918,1.85034770995883,0
"(Intercept)",0.131969630150876,0.131318781866307,0.132623704200133,0
"S02Y",1.72147591404383,1.49125247845561,1.98724184230836,1.21014309684142e-13
"(Intercept)",0.13198343813938,0.131332577999537,0.132637523822558,0
"C61Y",1.65187409354528,1.41527219103077,1.92803055003765,1.97040828098238e-10
"(Intercept)",0.131924299499655,0.131273284315488,0.132578543221695,0
"T84Y",1.53650770534531,1.38827719388112,1.70056523221088,0
"(Intercept)",0.131495982439391,0.130844070575785,0.132151142360597,0
"S06Y",1.5164616316473,1.4475979266782,1.58860125306713,0
"(Intercept)",0.131999997081742,0.131349101605552,0.132654118045703,0
"C71Y",1.48683095889475,1.26008744124746,1.75437531393803,2.62182210919448e-06
"(Intercept)",0.131945991276623,0.131294930425107,0.132600280586626,0
"R60Y",1.44843524683748,1.30357303990438,1.60939556132202,5.53646017920073e-12
"(Intercept)",0.131837507541421,0.131186092927406,0.132492156804702,0
"I62Y",1.42726928639662,1.32976044067853,1.53192827337504,0
"(Intercept)",0.131918118145709,0.131266939626364,0.132572526979292,0
"C79Y",1.42261325616716,1.29933759252835,1.55758479417532,2.48689957516035e-14
"(Intercept)",0.132004711641582,0.131353795210481,0.132658853652876,0
"M86Y",1.41454541162715,1.19843144448468,1.6696313591937,4.13300218522483e-05
"(Intercept)",0.132005967046081,0.131355027644321,0.132660132225432,0
"G93Y",1.366698605955,1.16340243208141,1.60551931817575,0.000143564812224106
"(Intercept)",0.131776163829509,0.131124091050384,0.132431479330133,0
"E86Y",1.32688775443457,1.25458639528152,1.40335581470524,0
"(Intercept)",0.131937359072835,0.131285556226895,0.132592397971256,0
"Z51Y",1.1983112790574,1.11415698991095,1.2888218936103,1.11754758380656e-06
"(Intercept)",0.131997018145701,0.131345791342244,0.132651473802898,0
"F10Y",1.19743155842798,1.07100102728033,1.33878707918733,0.00155161055702369
"(Intercept)",0.132002945687867,0.131351771969135,0.132657347586971,0
"E83Y",1.19554052517421,1.06087894217675,1.3472952384191,0.00339729835480518
"(Intercept)",0.131951305208034,0.131299581610439,0.132606263725668,0
"C34Y",1.18879267507745,1.10109849329092,1.28347103635933,9.71940127136861e-06
"(Intercept)",0.131983512718183,0.131332074904329,0.132638181815984,0
"E14Y",1.17767832863601,1.07283453719488,1.29276808086853,0.000586340798582885
"(Intercept)",0.131454368299458,0.130794884601111,0.132117177194732,0
"N39Y",1.14357587955971,1.11316140850121,1.17482135324073,0
"(Intercept)",0.132028485638853,0.131377476155915,0.132682721042698,0
"R40Y",1.12516883207193,0.947222907825483,1.33654379577079,0.179373289329491
"(Intercept)",0.131886242611653,0.131232731274569,0.132543008297432,0
"L03Y",1.12208785349613,1.06925100198103,1.17753562880074,2.85556953816268e-06
"(Intercept)",0.132014321238155,0.131363053421306,0.132668817891105,0
"N19Y",1.12083313798992,0.998540914510955,1.25810260246733,0.0529622451819278
"(Intercept)",0.132027197244652,0.131376092298102,0.13268152909226,0
"N18Y",1.09809786635227,0.948395826075608,1.27143001997066,0.210770964926282
"(Intercept)",0.13203174843906,0.131380741996882,0.132685980691819,0
"I70Y",1.09675042478006,0.917379180767866,1.31119336417513,0.310788569262898
"(Intercept)",0.131997032026298,0.13134504923898,0.132652251186494,0
"R56Y",1.08287734972295,1.00400369703211,1.16794724761406,0.0390597676080431
"(Intercept)",0.132027340097615,0.131376159559344,0.132681748284608,0
"I60Y",1.07951937627908,0.944453422466239,1.23390106493433,0.261864772923921
"(Intercept)",0.13203311627479,0.131382077153705,0.132687381497536,0
"D43Y",1.07290431588945,0.905229933452417,1.27163677261973,0.417007409616839
