"","","2.5 %","97.5 %","pv"
"complaint1_grp8",0.555644545487394,0.496951740956272,0.613979493082244,0
"complaint1_grp852",0.420859088848782,0.364667998721145,0.476762910597737,0
"complaint1_grp855",0.402516416218623,0.340473207777213,0.464076234107554,0
"complaint1_grp999",0.854244960977758,0.809731577887673,0.898814758382511,0
"complaint1_grpOthers",1.01094693812602,0.975569438168743,1.0465833111347,0
"(Intercept)",-1.68847522008628,-1.70639120025883,-1.67063267031434,0
"consultserv_grp10",-0.277094185128139,-0.296815779056154,-0.257315612877371,0
"consultserv_grp12",-1.3651137749618,-1.4059013171946,-1.3246381524619,0
"consultserv_grp15",-1.11475165785335,-1.18470758392772,-1.04602962064369,0
"consultserv_grp16",-0.62541863793759,-0.694127174330401,-0.557807825272074,0
"consultserv_grp17",0.240230270078515,0.198992040735785,0.281252249852719,0
"consultserv_grp18",-0.613413251515074,-0.670894319419492,-0.556650051877116,0
"consultserv_grp30",-1.28891535117525,-1.32262829057472,-1.25535725267828,0
"consultserv_grp32",0.195922309132018,0.149311040408008,0.2422136126335,2.22044604925031e-16
"consultserv_grp34",0.831716784320496,0.807580562189761,0.855877204396734,0
"consultserv_grp37",-0.647159508321192,-0.71967936946141,-0.575885892199073,0
"consultserv_grp39",-1.74925855687037,-1.82817247166945,-1.67205863525053,0
"consultserv_grp55",-0.410255246895248,-0.467304555815032,-0.353879305066479,0
"consultserv_grp74",-0.516147013204184,-0.577496246270439,-0.455621161664347,0
"consultserv_grpOthers",-0.449468657155634,-0.487116933912233,-0.412025755540305,0
"(Intercept)",-5.74047221001748,-5.78820091388374,-5.69276531985272,0
"age_group",0.0486832280800774,0.0480707895811069,0.0492957200823809,0
"(Intercept)",-1.9502163718491,-1.95554185941878,-1.94489798494979,0
"ruralY",-0.46682002685007,-0.481296804565163,-0.452385881593304,0
"(Intercept)",-2.05524033379659,-2.07016445088837,-2.04037347438111,0
"dependency_q_da2",0.024355408367363,0.00452386212260214,0.0442000337099155,0.0161141859875877
"dependency_q_da3",0.00381894600283053,-0.0152949168284017,0.022952958314211,0.695499214746416
"dependency_q_da4",-0.000521257448208774,-0.0189609004627321,0.0179450251958084,0.955846752940172
"dependency_q_da5",0.0805481419123901,0.0635579119987506,0.0975783056493219,0
"(Intercept)",-2.06894599158315,-2.08164599523064,-2.05628762278825,0
"deprivation_q_da2",-0.000388390189290155,-0.0177597603724793,0.0169880723651421,0.965051306424844
"deprivation_q_da3",0.0162610521751067,-0.000658856235621947,0.0331901073556609,0.0596760388407565
"deprivation_q_da4",0.0507402855102483,0.0342006001972784,0.0672925000120768,1.84827020355272e-09
"deprivation_q_da5",0.130414377479653,0.114398462056427,0.146447388235427,0
"(Intercept)",-2.18321193547451,-2.19377275362055,-2.17268075392924,0
"ethniccon_q_da2",0.137799641585673,0.122821408512898,0.152777895271985,0
"ethniccon_q_da3",0.239449402827175,0.224019341152963,0.254876417743986,0
"ethniccon_q_da4",0.286608102825862,0.27100541407854,0.302206642527824,0
"ethniccon_q_da5",0.194832097609252,0.179023008164927,0.210634904251304,0
"(Intercept)",-2.21653712857852,-2.23225534711531,-2.20088495145751,0
"instability_q_da2",0.0580064593074548,0.0376622645744398,0.0783717774589409,2.32431396351984e-08
"instability_q_da3",0.107763681023555,0.0883019881472764,0.127255957882977,0
"instability_q_da4",0.194811990465439,0.175957648707359,0.213703248981256,0
"instability_q_da5",0.377310585995338,0.35949862407413,0.395169678215835,0
"(Intercept)",-1.96603442368022,-1.97628069370933,-1.95581452657075,0
"incquint2",-0.0354011982493593,-0.0501796032434268,-0.0206251920324013,2.66006170268618e-06
"incquint3",-0.0891492781192988,-0.104469218028424,-0.07383612311332,0
"incquint4",-0.0894223147535659,-0.104826199443761,-0.0740258759734996,0
"incquint5",-0.0899547767016961,-0.105568911992197,-0.0743497583639033,0
